id,name,num_followers,broadcaster_type,description,lang,last_game_played_name,view_count,profile_image_url,created_at,user_follows
61127118,DavimenXPro,,affiliate,Canal de Youtube: https://www.youtube.com/channel/UC_PbnWX16de3BVZoD-k5MZg,es,Pokémon Brilliant Diamond/Shining Pearl,2328,https://static-cdn.jtvnw.net/jtv_user_pictures/79acfc05-8a2b-4817-a7b5-017ea07e26e3-profile_image-300x300.jpg,2014-04-18T15:03:20Z,"['36029255', '486931255', '219278031', '15463719', '526210023', '439038104', '81526980', '40934651', '180671441', '127550308', '110405254', '457885985', '69610098', '92536977', '61227281', '31557216', '42386491', '135824897', '166287249', '75299961', '102214988', '67159400', '135344509', '167891591', '65379244', '36138196', '31291480', '36694009', '30651868']"
67159400,iNnFeR,,affiliate,Acabado de la vida que nunca sabe a que jugar xd,es,It Takes Two,87903,https://static-cdn.jtvnw.net/jtv_user_pictures/4cbdfac6-87b5-484e-b31c-b495f322e021-profile_image-300x300.png,2014-07-24T20:32:30Z,
110405254,Carola,,partner,FUEGO,es,VALORANT,13527618,https://static-cdn.jtvnw.net/jtv_user_pictures/791ac228-58c4-4700-beed-86e48132d554-profile_image-300x300.png,2015-12-25T00:04:58Z,
65379244,Hitheart,,affiliate,¡Bienvenidos a mi stream!  Espero que os guste y os lo paséis bien. ,es,Animal Crossing: New Horizons,199711,https://static-cdn.jtvnw.net/jtv_user_pictures/b6e5c00a-8267-4361-9d4a-045e5ce3572b-profile_image-300x300.png,2014-06-30T21:03:15Z,
31291480,PokeR988HD,,partner,"Streamer, Youtuber y un poquito Pinzao ^^",es,Counter-Strike: Global Offensive,3323805,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8a7ead-f3b8-48c3-876d-0108740911bc-profile_image-300x300.png,2012-06-13T14:24:29Z,
61227281,0megaPlays,,,,es,Brawlhalla,183,https://static-cdn.jtvnw.net/jtv_user_pictures/f4696d46-f57e-49c9-a628-f23571e7af75-profile_image-300x300.png,2014-04-19T20:22:08Z,
166287249,OTPAGUJADINAMICA69,,,,es,League of Legends,649,https://static-cdn.jtvnw.net/jtv_user_pictures/13c3c629b48dbff8-profile_image-300x300.jpeg,2017-07-23T11:53:31Z,
219278031,RubySky9,,partner,"Ruby es una streamer de 19 años. Vive en Barcelona. Es creadora de contenido para MadLions. Fue concursante TopGamers Academy. Es Otaku y Cosplayer. Le gusta hacer IRL's y, a pesar de estar medio retirada, su categoría de videojuegos favoritos son los shooters. Actualmente es una lolera en inicios.",es,League of Legends,549959,https://static-cdn.jtvnw.net/jtv_user_pictures/b3a7458d-eaf2-4bbe-8377-a6fd343e9796-profile_image-300x300.png,2018-05-08T18:28:22Z,
135344509,LVELeugim,,affiliate,"Hago Streamings algunas veces cuando tengo tiempo y ganas. ¿Que subo? League of Legends (Oro III) Counter Strike GO (AK) Sea of Thives, FiveM (LVE) y mas.Ni mucho menos soy profesional en ningún juego, juego y hago streaming por diversión.",es,New World,7305,https://static-cdn.jtvnw.net/jtv_user_pictures/4b4aeed1-1718-4493-af70-bebb747da761-profile_image-300x300.png,2016-09-24T23:10:58Z,
75299961,longeliu,,,soy un NPC básicamente,es,Apex Legends,288,https://static-cdn.jtvnw.net/jtv_user_pictures/ec5c0de9-9337-4fd0-a127-23da74e20dba-profile_image-300x300.jpg,2014-11-16T11:31:19Z,
92536977,Xp0ta,,,Redes sociales:  Twitter: @marianorajoy  //  Instagram: https://t.co/gw5Ippso3F?amp=1  //  Onlyfans: @marianomiramelano,es,Euro Truck Simulator 2,278,https://static-cdn.jtvnw.net/jtv_user_pictures/98f41d0b-4944-4e03-af2b-c8d0bdc453bb-profile_image-300x300.png,2015-06-02T19:29:07Z,
486931255,AydenAzure,,affiliate,"Content Creator, Streamer y Freestyler! Soy Ayden, un chaval de 23 años con muchas ganas de conocer el mundo y a su gente. Capitan de la RadioBunker, ¿a que esperas para unirte?",es,Just Chatting,2714,https://static-cdn.jtvnw.net/jtv_user_pictures/9ef75be8-586e-4a7a-a5b8-60fd0ea0e919-profile_image-300x300.png,2020-01-20T12:47:34Z,
135824897,AlehandoroVR,,partner,Magnate multimillonario con un Yate que de vez en cuando juega en Realidad Virtual y da charlas sobre esta Tecnología - Horario de Lunes a Viernes a las 22.00h ,es,Just Chatting,146515,https://static-cdn.jtvnw.net/jtv_user_pictures/c1876dd9-7fbc-4283-9328-5ce5e12bbb1d-profile_image-300x300.png,2016-10-01T11:01:01Z,
42386491,Sheikonh,,affiliate,,es,League of Legends,10631,https://static-cdn.jtvnw.net/jtv_user_pictures/8e436aa2-9d6f-4d19-981a-7ac4c5ecda62-profile_image-300x300.png,2013-04-12T22:37:57Z,
15463719,naremk,,affiliate,"Muy buenas! Soy Nare aunque otros se refieren a mi con mi antiguo nick Gumer. Jugador competitivo de Mario Kart, líder del clan TT e intento de youtuber. Aparte de Mario Kart, stremeo otros juegos como COD o lo que me guste en ese momento. Espero que disfrutéis del contenido, nos vemos en directo!",es,Mario Kart 8,8570,https://static-cdn.jtvnw.net/jtv_user_pictures/98304353-f24e-48c0-8f1e-6a8415078542-profile_image-300x300.png,2010-09-11T15:57:31Z,
167891591,TuestameLaTostada,,,,es,Fortnite,795,https://static-cdn.jtvnw.net/jtv_user_pictures/b3a3d538c7e91a4b-profile_image-300x300.jpeg,2017-08-02T10:11:09Z,
36138196,alexelcapo,,partner,Nací en el 87 y me gusta jugar a videojuegos.,es,Minecraft,71831795,https://static-cdn.jtvnw.net/jtv_user_pictures/d7ad172b-dd04-4d81-bbd3-2492d4709276-profile_image-300x300.png,2012-09-12T21:24:26Z,
81526980,JaggerPrincesa,,partner,,es,Minecraft,12006610,https://static-cdn.jtvnw.net/jtv_user_pictures/5757d1cb-ee4c-44bb-8738-c1f2627d1935-profile_image-300x300.png,2015-02-01T14:46:39Z,
30651868,ElRichMC,,partner,"Soy un jugador de Minecraft veterano, llevo 9 años jugando desde la Beta 1.7 Introduje en España el término de Minecraft Técnico, participé en el ZipKrowd y he organizado proyectos como UHC España, EliteCraft y Permadeath. Mi pasión es mi mundo Survival 1.9",es,Minecraft,27792577,https://static-cdn.jtvnw.net/jtv_user_pictures/f8bb9c67-375d-478f-8853-ae669e8563b6-profile_image-300x300.jpeg,2012-05-19T16:14:37Z,
102214988,Ratacablona,,,,es,Fall Guys: Ultimate Knockout,139,https://static-cdn.jtvnw.net/jtv_user_pictures/54b38f3c-313e-4bed-8a2b-52e56b971824-profile_image-300x300.jpg,2015-09-14T20:20:17Z,
457885985,TopGamersAcademy,,partner,"El primer reality-talent mundial de videojuegos con @rubiu5, @WillyrexYT y @TheGrefg 🎮🔥",es,Just Chatting,10100025,https://static-cdn.jtvnw.net/jtv_user_pictures/fecfa366-370a-4665-8b28-03bed1d41f86-profile_image-300x300.png,2019-08-29T11:53:56Z,
36694009,kttiger666,,affiliate,"Este es mi canal de twitch, jugaré a gran variedad de juegos, excepto en las épocas en las que me vicie mucho a un mismo juego. ",es,Mario Kart 8,188584,https://static-cdn.jtvnw.net/jtv_user_pictures/kttiger666-profile_image-375bfb9bc614f180-300x300.jpeg,2012-10-06T11:07:54Z,
